pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
1.48.48.9,1,48,48,9,0.64,428130.6,5885809.5,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.48.48.10,1,48,48,10,0.64,428130.6,5885809.5,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.51.51.9,1,51,51,9,0.66,428149.6,5885853.7,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.51.51.10,1,51,51,10,0.66,428149.6,5885853.7,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.52.52.9,1,52,52,9,0.71,428152.8,5885816.9,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.52.52.10,1,52,52,10,0.71,428152.8,5885816.9,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.57.57.9,1,57,57,9,0.71,428179.2,5885861.4,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.57.57.10,1,57,57,10,0.71,428179.2,5885861.4,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.58.58.9,1,58,58,9,0.79,428187.6,5885976.4,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.58.58.10,1,58,58,10,0.8,428187.6,5885976.4,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.59.59.9,1,59,59,9,0.95,428190.1,5885932.5,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.59.59.10,1,59,59,10,0.95,428190.1,5885932.5,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.61.61.9,1,61,61,9,0.77,428199.9,5886010.1,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.61.61.10,1,61,61,10,0.79,428199.9,5886010.1,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.62.62.9,1,62,62,9,0.87,428203.6,5885921.5,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.62.62.10,1,62,62,10,1.07,428203.6,5885921.5,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.65.65.9,1,65,65,9,0.8,428228.0,5885894.6,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.65.65.10,1,65,65,10,0.8,428228.0,5885894.6,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.66.66.9,1,66,66,9,0.93,428233.3,5885815.1,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.66.66.10,1,66,66,10,0.95,428233.3,5885815.1,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.70.70.9,1,70,70,9,0.63,428272.4,5885893.5,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.70.70.10,1,70,70,10,0.66,428272.4,5885893.5,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.72.72.9,1,72,72,9,0.84,428276.8,5886017.3,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.72.72.10,1,72,72,10,0.87,428276.8,5886017.3,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.75.75.9,1,75,75,9,0.99,428318.2,5885988.7,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.75.75.10,1,75,75,10,1.01,428318.2,5885988.7,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.76.76.9,1,76,76,9,0.83,428328.3,5885864.6,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.76.76.10,1,76,76,10,0.84,428328.3,5885864.6,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.77.77.9,1,77,77,9,0.8,428328.5,5885822.4,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.77.77.10,1,77,77,10,0.81,428328.5,5885822.4,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.78.78.9,1,78,78,9,0.8,428329.2,5885849.3,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.78.78.10,1,78,78,10,0.83,428329.2,5885849.3,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.80.80.9,1,80,80,9,0.6,428384.4,5885927.3,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.80.80.10,1,80,80,10,0.63,428384.4,5885927.3,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.84.84.9,1,84,84,9,0.81,428460.2,5885853.8,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.84.84.10,1,84,84,10,0.83,428460.2,5885853.8,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.86.86.9,1,86,86,9,0.8,428482.1,5885984.7,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.86.86.10,1,86,86,10,0.83,428482.1,5885984.7,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.87.87.9,1,87,87,9,0.53,428482.6,5885896.8,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.87.87.10,1,87,87,10,0.54,428482.6,5885896.8,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.88.88.9,1,88,88,9,0.64,428487.4,5885871.2,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.88.88.10,1,88,88,10,0.64,428487.4,5885871.2,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.89.89.9,1,89,89,9,0.66,428503.5,5885943.0,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.89.89.10,1,89,89,10,0.66,428503.5,5885943.0,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.92.92.9,1,92,92,9,0.66,428523.5,5885871.5,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.92.92.10,1,92,92,10,0.68,428523.5,5885871.5,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.93.93.9,1,93,93,9,0.83,428534.4,5885895.7,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.93.93.10,1,93,93,10,0.86,428534.4,5885895.7,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.95.95.9,1,95,95,9,0.71,428580.4,5885876.6,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.95.95.10,1,95,95,10,0.82,428580.4,5885876.6,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.100.100.9,1,100,100,9,0.61,428632.4,5885885.6,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.100.100.10,1,100,100,10,0.64,428632.4,5885885.6,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.104.104.9,1,104,104,9,0.61,428721.0,5886010.9,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.104.104.10,1,104,104,10,0.64,428721.0,5886010.9,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.106.106.9,1,106,106,9,0.84,428735.5,5885811.9,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.106.106.10,1,106,106,10,0.85,428735.5,5885811.9,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
1.107.107.9,1,107,107,9,0.57,428739.8,5885918.7,8,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,2
1.107.107.10,1,107,107,10,0.58,428739.8,5885918.7,8,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,2
