pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method
1.1.1.1,1,1,1,1,13.93,426793.1,5886179.9,1,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.1.1.2,1,1,1,2,5.48,426793.1,5886179.9,1,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.1.1.3,1,1,1,3,14.81,426793.1,5886179.9,1,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.1.1.4,1,1,1,4,7.19,426793.1,5886179.9,1,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
1.1.1.5,1,1,1,5,34.98,426793.1,5886179.9,1,21,2022-03-24,2022-04-04,Fine sand,fSa,M%,DIN ISO 11277
1.1.1.6,1,1,1,6,18.02,426793.1,5886179.9,1,21,2022-03-24,2022-04-04,Middle sand,mSa,M%,DIN ISO 11277
1.1.1.7,1,1,1,7,5.58,426793.1,5886179.9,1,21,2022-03-24,2022-04-04,Coarse sand,cSa,M%,DIN ISO 11277
1.2.2.1,1,2,2,1,12.02,426885.7,5886335.3,1,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.2.2.2,1,2,2,2,3.76,426885.7,5886335.3,1,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.2.2.3,1,2,2,3,8.05,426885.7,5886335.3,1,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.2.2.4,1,2,2,4,10.94,426885.7,5886335.3,1,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
1.2.2.5,1,2,2,5,38.94,426885.7,5886335.3,1,21,2022-03-24,2022-04-04,Fine sand,fSa,M%,DIN ISO 11277
1.2.2.6,1,2,2,6,21.07,426885.7,5886335.3,1,21,2022-03-24,2022-04-04,Middle sand,mSa,M%,DIN ISO 11277
1.2.2.7,1,2,2,7,5.23,426885.7,5886335.3,1,21,2022-03-24,2022-04-04,Coarse sand,cSa,M%,DIN ISO 11277
1.3.3.1,1,3,3,1,5.16,426920.9,5885930.9,1,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.3.3.2,1,3,3,2,2.8,426920.9,5885930.9,1,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.3.3.3,1,3,3,3,4.36,426920.9,5885930.9,1,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.3.3.4,1,3,3,4,8.49,426920.9,5885930.9,1,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
1.3.3.5,1,3,3,5,35.75,426920.9,5885930.9,1,21,2022-03-24,2022-04-04,Fine sand,fSa,M%,DIN ISO 11277
1.3.3.6,1,3,3,6,35.32,426920.9,5885930.9,1,21,2022-03-24,2022-04-04,Middle sand,mSa,M%,DIN ISO 11277
1.3.3.7,1,3,3,7,8.12,426920.9,5885930.9,1,21,2022-03-24,2022-04-04,Coarse sand,cSa,M%,DIN ISO 11277
1.4.4.1,1,4,4,1,10.98,426974.9,5885665.4,1,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.4.4.2,1,4,4,2,5.62,426974.9,5885665.4,1,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.4.4.3,1,4,4,3,7.02,426974.9,5885665.4,1,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.4.4.4,1,4,4,4,12.82,426974.9,5885665.4,1,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
1.4.4.5,1,4,4,5,34.46,426974.9,5885665.4,1,21,2022-03-24,2022-04-04,Fine sand,fSa,M%,DIN ISO 11277
1.4.4.6,1,4,4,6,23.43,426974.9,5885665.4,1,21,2022-03-24,2022-04-04,Middle sand,mSa,M%,DIN ISO 11277
1.4.4.7,1,4,4,7,5.68,426974.9,5885665.4,1,21,2022-03-24,2022-04-04,Coarse sand,cSa,M%,DIN ISO 11277
1.5.5.1,1,5,5,1,14.49,426985.9,5886004.7,1,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.5.5.2,1,5,5,2,5.99,426985.9,5886004.7,1,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.5.5.3,1,5,5,3,8.81,426985.9,5886004.7,1,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.5.5.4,1,5,5,4,11.1,426985.9,5886004.7,1,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
1.5.5.5,1,5,5,5,31.85,426985.9,5886004.7,1,21,2022-03-24,2022-04-04,Fine sand,fSa,M%,DIN ISO 11277
1.5.5.6,1,5,5,6,21.76,426985.9,5886004.7,1,21,2022-03-24,2022-04-04,Middle sand,mSa,M%,DIN ISO 11277
1.5.5.7,1,5,5,7,6.01,426985.9,5886004.7,1,21,2022-03-24,2022-04-04,Coarse sand,cSa,M%,DIN ISO 11277
1.6.6.1,1,6,6,1,7.82,427145.7,5886110.5,1,21,2022-03-24,2022-04-04,Clay,Cl,M%,DIN ISO 11277
1.6.6.2,1,6,6,2,3.13,427145.7,5886110.5,1,21,2022-03-24,2022-04-04,Fine silt,fSi,M%,DIN ISO 11277
1.6.6.3,1,6,6,3,4.16,427145.7,5886110.5,1,21,2022-03-24,2022-04-04,Middle silt,mSi,M%,DIN ISO 11277
1.6.6.4,1,6,6,4,16.32,427145.7,5886110.5,1,21,2022-03-24,2022-04-04,Coarse silt,cSi,M%,DIN ISO 11277
1.6.6.5,1,6,6,5,37.43,427145.7,5886110.5,1,21,2022-03-24,2022-04-04,Fine sand,fSa,M%,DIN ISO 11277
1.6.6.6,1,6,6,6,25.9,427145.7,5886110.5,1,21,2022-03-24,2022-04-04,Middle sand,mSa,M%,DIN ISO 11277
1.6.6.7,1,6,6,7,5.23,427145.7,5886110.5,1,21,2022-03-24,2022-04-04,Coarse sand,cSa,M%,DIN ISO 11277
1.7.7.1,1,7,7,1,14.25,427230.0,5886318.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.7.7.2,1,7,7,2,5.47,427230.0,5886318.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.7.7.3,1,7,7,3,8.7,427230.0,5886318.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.7.7.4,1,7,7,4,11.58,427230.0,5886318.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.7.7.5,1,7,7,5,32.02,427230.0,5886318.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.7.7.6,1,7,7,6,21.86,427230.0,5886318.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.7.7.7,1,7,7,7,6.13,427230.0,5886318.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.8.8.1,1,8,8,1,5.51,427298.0,5885959.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.8.8.2,1,8,8,2,2.38,427298.0,5885959.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.8.8.3,1,8,8,3,7.74,427298.0,5885959.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.8.8.4,1,8,8,4,13.57,427298.0,5885959.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.8.8.5,1,8,8,5,42.8,427298.0,5885959.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.8.8.6,1,8,8,6,23.2,427298.0,5885959.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.8.8.7,1,8,8,7,4.8,427298.0,5885959.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.9.9.1,1,9,9,1,9.11,427324.0,5886483.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.9.9.2,1,9,9,2,4.06,427324.0,5886483.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.9.9.3,1,9,9,3,8.91,427324.0,5886483.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.9.9.4,1,9,9,4,10.64,427324.0,5886483.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.9.9.5,1,9,9,5,38.4,427324.0,5886483.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.9.9.6,1,9,9,6,22.93,427324.0,5886483.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.9.9.7,1,9,9,7,5.93,427324.0,5886483.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.10.10.1,1,10,10,1,11.34,427347.0,5886407.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.10.10.2,1,10,10,2,4.47,427347.0,5886407.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.10.10.3,1,10,10,3,9.13,427347.0,5886407.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.10.10.4,1,10,10,4,13.27,427347.0,5886407.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.10.10.5,1,10,10,5,34.23,427347.0,5886407.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.10.10.6,1,10,10,6,21.85,427347.0,5886407.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.10.10.7,1,10,10,7,5.71,427347.0,5886407.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.11.11.1,1,11,11,1,3.85,427356.0,5886095.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.11.11.2,1,11,11,2,3.0,427356.0,5886095.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.11.11.3,1,11,11,3,4.08,427356.0,5886095.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.11.11.4,1,11,11,4,9.38,427356.0,5886095.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.11.11.5,1,11,11,5,42.79,427356.0,5886095.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.11.11.6,1,11,11,6,31.73,427356.0,5886095.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.11.11.7,1,11,11,7,5.17,427356.0,5886095.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.12.12.1,1,12,12,1,15.05,427459.0,5886452.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.12.12.2,1,12,12,2,7.45,427459.0,5886452.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.12.12.3,1,12,12,3,9.62,427459.0,5886452.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.12.12.4,1,12,12,4,10.49,427459.0,5886452.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.12.12.5,1,12,12,5,30.69,427459.0,5886452.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.12.12.6,1,12,12,6,20.37,427459.0,5886452.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.12.12.7,1,12,12,7,6.33,427459.0,5886452.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.13.13.1,1,13,13,1,2.8,427460.0,5886053.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.13.13.2,1,13,13,2,2.08,427460.0,5886053.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.13.13.3,1,13,13,3,1.77,427460.0,5886053.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.13.13.4,1,13,13,4,7.04,427460.0,5886053.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.13.13.5,1,13,13,5,47.82,427460.0,5886053.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.13.13.6,1,13,13,6,36.11,427460.0,5886053.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.13.13.7,1,13,13,7,2.39,427460.0,5886053.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.14.14.1,1,14,14,1,4.31,427501.0,5886061.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.14.14.2,1,14,14,2,3.0,427501.0,5886061.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.14.14.3,1,14,14,3,1.67,427501.0,5886061.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.14.14.4,1,14,14,4,6.17,427501.0,5886061.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.14.14.5,1,14,14,5,41.66,427501.0,5886061.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.14.14.6,1,14,14,6,40.48,427501.0,5886061.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.14.14.7,1,14,14,7,2.72,427501.0,5886061.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.15.15.1,1,15,15,1,4.4,427531.0,5886127.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.15.15.2,1,15,15,2,1.57,427531.0,5886127.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.15.15.3,1,15,15,3,6.63,427531.0,5886127.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.15.15.4,1,15,15,4,4.76,427531.0,5886127.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.15.15.5,1,15,15,5,34.5,427531.0,5886127.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.15.15.6,1,15,15,6,43.19,427531.0,5886127.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.15.15.7,1,15,15,7,4.96,427531.0,5886127.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.16.16.1,1,16,16,1,17.68,427677.0,5886328.0,2,16,2020-05-14,2020-05-20,Clay,Cl,M%,DIN ISO 11277
1.16.16.2,1,16,16,2,3.95,427677.0,5886328.0,2,16,2020-05-14,2020-05-20,Fine silt,fSi,M%,DIN ISO 11277
1.16.16.3,1,16,16,3,7.66,427677.0,5886328.0,2,16,2020-05-14,2020-05-20,Middle silt,mSi,M%,DIN ISO 11277
1.16.16.4,1,16,16,4,13.66,427677.0,5886328.0,2,16,2020-05-14,2020-05-20,Coarse silt,cSi,M%,DIN ISO 11277
1.16.16.5,1,16,16,5,33.83,427677.0,5886328.0,2,16,2020-05-14,2020-05-20,Fine sand,fSa,M%,DIN ISO 11277
1.16.16.6,1,16,16,6,18.2,427677.0,5886328.0,2,16,2020-05-14,2020-05-20,Middle sand,mSa,M%,DIN ISO 11277
1.16.16.7,1,16,16,7,5.04,427677.0,5886328.0,2,16,2020-05-14,2020-05-20,Coarse sand,cSa,M%,DIN ISO 11277
1.17.17.8,1,17,17,8,6.0,426186.4,5885381.3,3,19,2021-08-18,2021-08-23,soil pH,pH,,DIN ISO 10390
1.17.17.12,1,17,17,12,3.3,426186.4,5885381.3,3,19,2021-08-18,2021-08-23,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
1.17.17.13,1,17,17,13,17.0,426186.4,5885381.3,3,19,2021-08-18,2021-08-23,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
1.17.17.14,1,17,17,14,7.1,426186.4,5885381.3,3,19,2021-08-18,2021-08-23,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
1.18.18.8,1,18,18,8,5.2,426196.0,5885252.7,3,19,2021-08-18,2021-08-23,soil pH,pH,,DIN ISO 10390
1.18.18.12,1,18,18,12,3.2,426196.0,5885252.7,3,19,2021-08-18,2021-08-23,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
1.18.18.13,1,18,18,13,13.0,426196.0,5885252.7,3,19,2021-08-18,2021-08-23,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
1.18.18.14,1,18,18,14,3.3,426196.0,5885252.7,3,19,2021-08-18,2021-08-23,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
1.19.19.8,1,19,19,8,6.3,426254.6,5885170.9,3,19,2021-08-18,2021-08-23,soil pH,pH,,DIN ISO 10390
1.19.19.12,1,19,19,12,2.4,426254.6,5885170.9,3,19,2021-08-18,2021-08-23,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
1.19.19.13,1,19,19,13,11.0,426254.6,5885170.9,3,19,2021-08-18,2021-08-23,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
1.19.19.14,1,19,19,14,7.0,426254.6,5885170.9,3,19,2021-08-18,2021-08-23,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
1.20.20.8,1,20,20,8,6.4,426258.9,5885133.7,3,19,2021-08-18,2021-08-23,soil pH,pH,,DIN ISO 10390
1.20.20.12,1,20,20,12,2.1,426258.9,5885133.7,3,19,2021-08-18,2021-08-23,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
1.20.20.13,1,20,20,13,14.0,426258.9,5885133.7,3,19,2021-08-18,2021-08-23,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
1.20.20.14,1,20,20,14,7.1,426258.9,5885133.7,3,19,2021-08-18,2021-08-23,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
1.21.21.8,1,21,21,8,6.4,426339.0,5885057.9,3,19,2021-08-18,2021-08-23,soil pH,pH,,DIN ISO 10390
1.21.21.12,1,21,21,12,2.6,426339.0,5885057.9,3,19,2021-08-18,2021-08-23,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
