pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
1.193.193.8,1,193,193,8,7.2,426624.3,5884561.7,21,3,2018-07-26,2018-08-03,soil pH,pH,,DIN ISO 10390,1
1.193.193.9,1,193,193,9,0.8,426624.3,5884561.7,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.193.193.10,1,193,193,10,0.87,426624.3,5884561.7,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.193.193.11,1,193,193,11,0.09,426624.3,5884561.7,21,3,2018-07-26,2018-08-03,Totoal nitrogen,TN,M%,DIN ISO 10694,1
1.193.193.12,1,193,193,12,5.7,426624.3,5884561.7,21,3,2018-07-26,2018-08-03,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",1
1.193.193.13,1,193,193,13,10.0,426624.3,5884561.7,21,3,2018-07-26,2018-08-03,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",1
1.193.193.14,1,193,193,14,3.1,426624.3,5884561.7,21,3,2018-07-26,2018-08-03,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,1
1.194.194.8,1,194,194,8,6.0,426663.8,5884688.6,21,3,2018-07-26,2018-08-03,soil pH,pH,,DIN ISO 10390,1
1.194.194.9,1,194,194,9,0.81,426663.8,5884688.6,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.194.194.10,1,194,194,10,0.84,426663.8,5884688.6,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.194.194.11,1,194,194,11,0.08,426663.8,5884688.6,21,3,2018-07-26,2018-08-03,Totoal nitrogen,TN,M%,DIN ISO 10694,1
1.194.194.12,1,194,194,12,3.1,426663.8,5884688.6,21,3,2018-07-26,2018-08-03,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",1
1.194.194.13,1,194,194,13,10.0,426663.8,5884688.6,21,3,2018-07-26,2018-08-03,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",1
1.194.194.14,1,194,194,14,10.0,426663.8,5884688.6,21,3,2018-07-26,2018-08-03,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,1
1.195.195.8,1,195,195,8,6.6,426677.1,5884613.5,21,3,2018-07-26,2018-08-03,soil pH,pH,,DIN ISO 10390,1
1.195.195.9,1,195,195,9,0.97,426677.1,5884613.5,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.195.195.10,1,195,195,10,1.01,426677.1,5884613.5,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.195.195.11,1,195,195,11,0.11,426677.1,5884613.5,21,3,2018-07-26,2018-08-03,Totoal nitrogen,TN,M%,DIN ISO 10694,1
1.195.195.12,1,195,195,12,6.6,426677.1,5884613.5,21,3,2018-07-26,2018-08-03,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",1
1.195.195.13,1,195,195,13,14.0,426677.1,5884613.5,21,3,2018-07-26,2018-08-03,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2.",1
1.195.195.14,1,195,195,14,4.4,426677.1,5884613.5,21,3,2018-07-26,2018-08-03,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR,1
1.196.196.8,1,196,196,8,6.2,426702.4,5884791.7,21,3,2018-07-26,2018-08-03,soil pH,pH,,DIN ISO 10390,1
1.196.196.9,1,196,196,9,0.78,426702.4,5884791.7,21,3,2018-07-26,2018-08-03,Soil organic carbon,SOC,M%,DIN ISO 10694,1
1.196.196.10,1,196,196,10,0.82,426702.4,5884791.7,21,3,2018-07-26,2018-08-03,Total carbon,TC,M%,DIN ISO 10694,1
1.196.196.11,1,196,196,11,0.09,426702.4,5884791.7,21,3,2018-07-26,2018-08-03,Totoal nitrogen,TN,M%,DIN ISO 10694,1
