pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value
1.1.1.1,1,1,1,1,13.93
1.1.1.2,1,1,1,2,5.48
1.1.1.3,1,1,1,3,14.81
1.1.1.4,1,1,1,4,7.19
1.1.1.5,1,1,1,5,34.98
1.1.1.6,1,1,1,6,18.02
1.1.1.7,1,1,1,7,5.58
1.2.2.1,1,2,2,1,12.02
1.2.2.2,1,2,2,2,3.76
1.2.2.3,1,2,2,3,8.05
1.2.2.4,1,2,2,4,10.94
1.2.2.5,1,2,2,5,38.94
1.2.2.6,1,2,2,6,21.07
1.2.2.7,1,2,2,7,5.23
1.3.3.1,1,3,3,1,5.16
1.3.3.2,1,3,3,2,2.8
1.3.3.3,1,3,3,3,4.36
1.3.3.4,1,3,3,4,8.49
1.3.3.5,1,3,3,5,35.75
1.3.3.6,1,3,3,6,35.32
1.3.3.7,1,3,3,7,8.12
1.4.4.1,1,4,4,1,10.98
1.4.4.2,1,4,4,2,5.62
1.4.4.3,1,4,4,3,7.02
1.4.4.4,1,4,4,4,12.82
1.4.4.5,1,4,4,5,34.46
1.4.4.6,1,4,4,6,23.43
1.4.4.7,1,4,4,7,5.68
1.5.5.1,1,5,5,1,14.49
1.5.5.2,1,5,5,2,5.99
1.5.5.3,1,5,5,3,8.81
1.5.5.4,1,5,5,4,11.1
1.5.5.5,1,5,5,5,31.85
1.5.5.6,1,5,5,6,21.76
1.5.5.7,1,5,5,7,6.01
1.6.6.1,1,6,6,1,7.82
1.6.6.2,1,6,6,2,3.13
1.6.6.3,1,6,6,3,4.16
1.6.6.4,1,6,6,4,16.32
1.6.6.5,1,6,6,5,37.43
1.6.6.6,1,6,6,6,25.9
1.6.6.7,1,6,6,7,5.23
1.7.7.1,1,7,7,1,14.25
1.7.7.2,1,7,7,2,5.47
1.7.7.3,1,7,7,3,8.7
1.7.7.4,1,7,7,4,11.58
1.7.7.5,1,7,7,5,32.02
1.7.7.6,1,7,7,6,21.86
1.7.7.7,1,7,7,7,6.13
1.8.8.1,1,8,8,1,5.51
1.8.8.2,1,8,8,2,2.38
1.8.8.3,1,8,8,3,7.74
1.8.8.4,1,8,8,4,13.57
1.8.8.5,1,8,8,5,42.8
1.8.8.6,1,8,8,6,23.2
1.8.8.7,1,8,8,7,4.8
1.9.9.1,1,9,9,1,9.11
1.9.9.2,1,9,9,2,4.06
1.9.9.3,1,9,9,3,8.91
1.9.9.4,1,9,9,4,10.64
1.9.9.5,1,9,9,5,38.4
1.9.9.6,1,9,9,6,22.93
1.9.9.7,1,9,9,7,5.93
1.10.10.1,1,10,10,1,11.34
1.10.10.2,1,10,10,2,4.47
1.10.10.3,1,10,10,3,9.13
1.10.10.4,1,10,10,4,13.27
1.10.10.5,1,10,10,5,34.23
1.10.10.6,1,10,10,6,21.85
1.10.10.7,1,10,10,7,5.71
1.11.11.1,1,11,11,1,3.85
1.11.11.2,1,11,11,2,3
1.11.11.3,1,11,11,3,4.08
1.11.11.4,1,11,11,4,9.38
1.11.11.5,1,11,11,5,42.79
1.11.11.6,1,11,11,6,31.73
1.11.11.7,1,11,11,7,5.17
1.12.12.1,1,12,12,1,15.05
1.12.12.2,1,12,12,2,7.45
1.12.12.3,1,12,12,3,9.62
1.12.12.4,1,12,12,4,10.49
1.12.12.5,1,12,12,5,30.69
1.12.12.6,1,12,12,6,20.37
1.12.12.7,1,12,12,7,6.33
1.13.13.1,1,13,13,1,2.8
1.13.13.2,1,13,13,2,2.08
1.13.13.3,1,13,13,3,1.77
1.13.13.4,1,13,13,4,7.04
1.13.13.5,1,13,13,5,47.82
1.13.13.6,1,13,13,6,36.11
1.13.13.7,1,13,13,7,2.39
1.14.14.1,1,14,14,1,4.31
1.14.14.2,1,14,14,2,3
1.14.14.3,1,14,14,3,1.67
1.14.14.4,1,14,14,4,6.17
1.14.14.5,1,14,14,5,41.66
1.14.14.6,1,14,14,6,40.48
1.14.14.7,1,14,14,7,2.72
1.15.15.1,1,15,15,1,4.4
1.15.15.2,1,15,15,2,1.57
1.15.15.3,1,15,15,3,6.63
1.15.15.4,1,15,15,4,4.76
1.15.15.5,1,15,15,5,34.5
1.15.15.6,1,15,15,6,43.19
1.15.15.7,1,15,15,7,4.96
1.16.16.1,1,16,16,1,17.68
1.16.16.2,1,16,16,2,3.95
1.16.16.3,1,16,16,3,7.66
1.16.16.4,1,16,16,4,13.66
1.16.16.5,1,16,16,5,33.83
1.16.16.6,1,16,16,6,18.2
1.16.16.7,1,16,16,7,5.04
1.17.17.8,1,17,17,8,6
1.17.17.12,1,17,17,12,3.3
1.17.17.13,1,17,17,13,17
1.17.17.14,1,17,17,14,7.1
1.18.18.8,1,18,18,8,5.2
1.18.18.12,1,18,18,12,3.2
1.18.18.13,1,18,18,13,13
1.18.18.14,1,18,18,14,3.3
1.19.19.8,1,19,19,8,6.3
1.19.19.12,1,19,19,12,2.4
1.19.19.13,1,19,19,13,11
1.19.19.14,1,19,19,14,7
1.20.20.8,1,20,20,8,6.4
1.20.20.12,1,20,20,12,2.1
1.20.20.13,1,20,20,13,14
1.20.20.14,1,20,20,14,7.1
1.21.21.8,1,21,21,8,6.4
1.21.21.12,1,21,21,12,2.6
1.21.21.13,1,21,21,13,14
1.21.21.14,1,21,21,14,8.1
1.22.22.8,1,22,22,8,7
1.22.22.12,1,22,22,12,4.9
1.22.22.13,1,22,22,13,17
1.22.22.14,1,22,22,14,4.2
1.23.23.8,1,23,23,8,6.1
1.23.23.12,1,23,23,12,4.2
1.23.23.13,1,23,23,13,15
1.23.23.14,1,23,23,14,6.9
1.24.24.8,1,24,24,8,7
1.24.24.12,1,24,24,12,2.1
1.24.24.13,1,24,24,13,11
1.24.24.14,1,24,24,14,3.5
1.25.25.8,1,25,25,8,7
1.25.25.12,1,25,25,12,4.9
1.25.25.13,1,25,25,13,13
1.25.25.14,1,25,25,14,5.7
1.26.26.1,1,26,26,1,2.46
1.26.26.2,1,26,26,2,2.25
1.26.26.3,1,26,26,3,2.3
1.26.26.4,1,26,26,4,7.9
1.26.26.5,1,26,26,5,42.26
1.26.26.6,1,26,26,6,38.76
1.26.26.7,1,26,26,7,4.07
1.27.27.1,1,27,27,1,19.38
1.27.27.2,1,27,27,2,7.79
1.27.27.3,1,27,27,3,5.98
1.27.27.4,1,27,27,4,11.33
1.27.27.5,1,27,27,5,32.06
1.27.27.6,1,27,27,6,17.71
1.27.27.7,1,27,27,7,5.76
1.28.28.1,1,28,28,1,8.08
1.28.28.2,1,28,28,2,3.59
1.28.28.3,1,28,28,3,5.02
1.28.28.4,1,28,28,4,15.76
1.28.28.5,1,28,28,5,34.79
1.28.28.6,1,28,28,6,25.93
1.28.28.7,1,28,28,7,6.82
1.29.29.1,1,29,29,1,6.71
1.29.29.2,1,29,29,2,1.96
1.29.29.3,1,29,29,3,7.12
1.29.29.4,1,29,29,4,14.02
1.29.29.5,1,29,29,5,45.75
1.29.29.6,1,29,29,6,20.3
1.29.29.7,1,29,29,7,4.14
1.30.30.1,1,30,30,1,7.44
1.30.30.2,1,30,30,2,4.99
1.30.30.3,1,30,30,3,5.68
1.30.30.4,1,30,30,4,16.48
1.30.30.5,1,30,30,5,36.4
1.30.30.6,1,30,30,6,22.13
1.30.30.7,1,30,30,7,6.88
1.31.31.1,1,31,31,1,12.73
1.31.31.2,1,31,31,2,3.78
1.31.31.3,1,31,31,3,8.35
1.31.31.4,1,31,31,4,8.52
1.31.31.5,1,31,31,5,34.35
1.31.31.6,1,31,31,6,22.58
1.31.31.7,1,31,31,7,9.69
1.32.32.1,1,32,32,1,15.77
1.32.32.2,1,32,32,2,4.41
1.32.32.3,1,32,32,3,7.83
1.32.32.4,1,32,32,4,11.96
1.32.32.5,1,32,32,5,31.89
1.32.32.6,1,32,32,6,20.82
1.32.32.7,1,32,32,7,7.3
1.33.33.1,1,33,33,1,19.06
1.33.33.2,1,33,33,2,7.89
1.33.33.3,1,33,33,3,10.49
1.33.33.4,1,33,33,4,17.15
1.33.33.5,1,33,33,5,28.16
1.33.33.6,1,33,33,6,13.03
1.33.33.7,1,33,33,7,4.22
1.34.34.1,1,34,34,1,6.95
1.34.34.2,1,34,34,2,4.61
1.34.34.3,1,34,34,3,6.41
1.34.34.4,1,34,34,4,15.19
1.34.34.5,1,34,34,5,38.7
1.34.34.6,1,34,34,6,22.25
1.34.34.7,1,34,34,7,5.88
1.35.35.1,1,35,35,1,10.78
1.35.35.2,1,35,35,2,4.55
1.35.35.3,1,35,35,3,8.72
1.35.35.4,1,35,35,4,9.94
1.35.35.5,1,35,35,5,39.72
1.35.35.6,1,35,35,6,20.59
1.35.35.7,1,35,35,7,5.7
1.36.36.1,1,36,36,1,8.43
1.36.36.2,1,36,36,2,1.82
1.36.36.3,1,36,36,3,4.19
1.36.36.4,1,36,36,4,6.43
1.36.36.5,1,36,36,5,32.65
1.36.36.6,1,36,36,6,34.75
1.36.36.7,1,36,36,7,11.72
1.37.37.1,1,37,37,1,6.1
1.37.37.2,1,37,37,2,0.56
1.37.37.3,1,37,37,3,2.98
1.37.37.4,1,37,37,4,6.56
1.37.37.5,1,37,37,5,41.27
1.37.37.6,1,37,37,6,39.3
1.37.37.7,1,37,37,7,3.23
1.38.38.1,1,38,38,1,3.62
1.38.38.2,1,38,38,2,1.78
1.38.38.3,1,38,38,3,4.25
1.38.38.4,1,38,38,4,7.51
1.38.38.5,1,38,38,5,41.21
1.38.38.6,1,38,38,6,36.11
1.38.38.7,1,38,38,7,5.53
1.39.39.1,1,39,39,1,1.48
1.39.39.2,1,39,39,2,3.43
1.39.39.3,1,39,39,3,3.18
1.39.39.4,1,39,39,4,8.38
1.39.39.5,1,39,39,5,41.11
1.39.39.6,1,39,39,6,38.51
1.39.39.7,1,39,39,7,3.91
1.40.40.1,1,40,40,1,3
1.40.40.2,1,40,40,2,2.66
1.40.40.3,1,40,40,3,2.66
1.40.40.4,1,40,40,4,6.45
1.40.40.5,1,40,40,5,38.22
1.40.40.6,1,40,40,6,42.29
1.40.40.7,1,40,40,7,4.72
1.41.41.1,1,41,41,1,9.44
1.41.41.2,1,41,41,2,2.87
1.41.41.3,1,41,41,3,4.31
1.41.41.4,1,41,41,4,10.15
1.41.41.5,1,41,41,5,38.17
1.41.41.6,1,41,41,6,30.76
1.41.41.7,1,41,41,7,4.3
1.42.42.1,1,42,42,1,3.49
1.42.42.2,1,42,42,2,2.17
1.42.42.3,1,42,42,3,3.25
1.42.42.4,1,42,42,4,4.47
1.42.42.5,1,42,42,5,45.87
1.42.42.6,1,42,42,6,37.24
1.42.42.7,1,42,42,7,3.5
1.43.43.1,1,43,43,1,1.59
1.43.43.2,1,43,43,2,1.55
1.43.43.3,1,43,43,3,2.03
1.43.43.4,1,43,43,4,5.58
1.43.43.5,1,43,43,5,39.04
1.43.43.6,1,43,43,6,47.07
1.43.43.7,1,43,43,7,3.15
1.44.44.1,1,44,44,1,3.32
1.44.44.2,1,44,44,2,1.87
1.44.44.3,1,44,44,3,3.37
1.44.44.4,1,44,44,4,3.33
1.44.44.5,1,44,44,5,33.35
1.44.44.6,1,44,44,6,51.79
1.44.44.7,1,44,44,7,2.98
1.45.45.1,1,45,45,1,3.87
1.45.45.2,1,45,45,2,1.12
1.45.45.3,1,45,45,3,3.17
1.45.45.4,1,45,45,4,8.68
