point_ID,X,Y,field_ID
1,426793.1,5886179.9,1
2,426885.7,5886335.3,1
3,426920.9,5885930.9,1
4,426974.9,5885665.4,1
5,426985.9,5886004.7,1
6,427145.7,5886110.5,1
7,427230,5886318,2
8,427298,5885959,2
9,427324,5886483,2
10,427347,5886407,2
11,427356,5886095,2
12,427459,5886452,2
13,427460,5886053,2
14,427501,5886061,2
15,427531,5886127,2
16,427677,5886328,2
17,426186.4,5885381.3,3
18,426196,5885252.7,3
19,426254.6,5885170.9,3
20,426258.9,5885133.7,3
21,426339,5885057.9,3
22,426393.5,5885032.9,3
23,426398.3,5885163.7,3
24,426404.1,5885047.9,3
25,426478.5,5885143.6,3
26,427720.3,5886134.3,4
27,427873.4,5886285.2,4
28,428064.7,5886199.6,4
29,428158.1,5886100.1,4
30,428209.3,5886315.5,4
31,428408.4,5886284.4,4
32,428464.9,5886421,5
33,428497.5,5886211.4,5
34,428709.3,5886131.3,5
35,428840.6,5886408.7,5
36,429016.7,5886293.5,5
37,427499.5,5885993.3,6
38,427538.8,5885959.7,6
39,427565.3,5885953,6
40,427613.9,5886024.3,6
41,427736,5886032.3,6
42,427310.7,5885774.3,7
43,427360.5,5885812.7,7
44,427412.5,5885766.8,7
45,427416.8,5885893.3,7
46,427566.2,5885853.5,7
47,427586.2,5885730.8,7
48,428130.6,5885809.5,8
49,428143.4,5885915,8
50,428149.4,5885890.7,8
51,428149.6,5885853.7,8
52,428152.8,5885816.9,8
53,428159.9,5886033.2,8
54,428168.7,5885898.4,8
55,428171.5,5886001.5,8
56,428175.2,5885805.9,8
57,428179.2,5885861.4,8
58,428187.6,5885976.4,8
59,428190.1,5885932.5,8
60,428199.2,5885895,8
61,428199.9,5886010.1,8
62,428203.6,5885921.5,8
63,428211.2,5885815.9,8
64,428212.2,5885851.8,8
65,428228,5885894.6,8
66,428233.3,5885815.1,8
67,428238.6,5885966.7,8
68,428261.7,5885939.7,8
69,428262.2,5885886.4,8
70,428272.4,5885893.5,8
71,428272.4,5885980.9,8
72,428276.8,5886017.3,8
73,428290,5885978.2,8
74,428315.7,5886014.6,8
75,428318.2,5885988.7,8
76,428328.3,5885864.6,8
77,428328.5,5885822.4,8
78,428329.2,5885849.3,8
79,428364.7,5885984.2,8
80,428384.4,5885927.3,8
81,428422.8,5885931.5,8
82,428438.7,5885862.6,8
83,428443.7,5885855.1,8
84,428460.2,5885853.8,8
85,428464,5885896.6,8
86,428482.1,5885984.7,8
