date_ID,date_sampling,date_lab_delivery
1,2017-08-02T00:00:00,2017-09-01T00:00:00
2,2017-10-17T00:00:00,2017-11-15T00:00:00
3,2018-07-26T00:00:00,2018-08-03T00:00:00
4,2018-07-31T00:00:00,2018-08-03T00:00:00
5,2018-08-01T00:00:00,2018-08-03T00:00:00
6,2019-02-26T00:00:00,2019-03-04T00:00:00
7,2019-04-03T00:00:00,2019-04-03T00:00:00
8,2019-04-03T00:00:00,2019-04-08T00:00:00
9,2019-04-04T00:00:00,2019-04-09T00:00:00
10,2019-05-28T00:00:00,2019-06-03T00:00:00
11,2019-07-08T00:00:00,2019-07-14T00:00:00
12,2019-08-13T00:00:00,2019-08-20T00:00:00
13,2019-08-15T00:00:00,2019-08-21T00:00:00
14,2019-11-12T00:00:00,2019-11-18T00:00:00
15,2019-11-12T00:00:00,2019-11-20T00:00:00
16,2020-05-14T00:00:00,2020-05-20T00:00:00
17,2020-05-20T00:00:00,2020-05-26T00:00:00
18,2020-08-22T00:00:00,2020-08-25T00:00:00
19,2021-08-18T00:00:00,2021-08-23T00:00:00
20,2022-03-23T00:00:00,2022-04-04T00:00:00
21,2022-03-24T00:00:00,2022-04-04T00:00:00
22,2022-05-11T00:00:00,2022-05-25T00:00:00
