pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method
2.1.1.9,2,1,1,9,1.48,462573.1,5801470.8,1,24,24,2021-04-13,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694
2.1.1.10,2,1,1,10,1.5,462573.1,5801470.8,1,24,24,2021-04-13,2021-04-25,Total carbon,TC,M%,DIN ISO 10694
2.1.1.11,2,1,1,11,0.17,462573.1,5801470.8,1,24,24,2021-04-13,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694
2.2.2.1,2,2,2,1,38.23,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Clay,Cl,M%,DIN ISO 11277
2.2.2.2,2,2,2,2,6.57,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Fine silt,fSi,M%,DIN ISO 11277
2.2.2.3,2,2,2,3,6.66,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Middle silt,mSi,M%,DIN ISO 11277
2.2.2.4,2,2,2,4,8.14,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Coarse silt,cSi,M%,DIN ISO 11277
2.2.2.5,2,2,2,5,18.43,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Fine sand,fSa,M%,DIN ISO 11277
2.2.2.6,2,2,2,6,17.79,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Middle sand,mSa,M%,DIN ISO 11277
2.2.2.7,2,2,2,7,4.19,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Coarse sand,cSa,M%,DIN ISO 11277
2.2.2.8,2,2,2,8,7.0,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,soil pH,pH,,DIN ISO 10390
2.2.2.12,2,2,2,12,7.3,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Phosphorus (plant available),P,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.2.2.13,2,2,2,13,27.0,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Potassium (plant available),K,mg/100 g,"Methodenbuch VDLUFA 1991, Band I, A 6.2.1.2."
2.2.2.14,2,2,2,14,15.5,462602.9,5801523.2,1,5,5,2018-05-30,2018-05-31,Magnesia (plant available),Mg,mg/100 g,Approach based on the Methodenbuch SKALAR
2.3.3.1,2,3,3,1,16.94,462609.6,5801439.5,1,5,5,2018-05-30,2018-05-31,Clay,Cl,M%,DIN ISO 11277
2.3.3.2,2,3,3,2,4.65,462609.6,5801439.5,1,5,5,2018-05-30,2018-05-31,Fine silt,fSi,M%,DIN ISO 11277
