pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value,X,Y,field_ID,date_ID,dates_ID,date_sampling,date_lab_delivery,parameter,abbreviation,unit,method,field_ID_qgis
2.965.1022.9,2,965,1022,9,1.46,462005.8,5801970.2,30,18,18,2021-03-29,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,4
2.965.1022.10,2,965,1022,10,1.9,462005.8,5801970.2,30,18,18,2021-03-29,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,4
2.965.1022.11,2,965,1022,11,0.16,462005.8,5801970.2,30,18,18,2021-03-29,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,4
2.967.1024.9,2,967,1024,9,0.37,462027.2,5802143.3,30,18,18,2021-03-29,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,4
2.967.1024.10,2,967,1024,10,0.4,462027.2,5802143.3,30,18,18,2021-03-29,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,4
2.967.1024.11,2,967,1024,11,0.03,462027.2,5802143.3,30,18,18,2021-03-29,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,4
2.970.1027.9,2,970,1027,9,1.42,462037.4,5802072.2,30,18,18,2021-03-29,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,4
2.970.1027.10,2,970,1027,10,1.43,462037.4,5802072.2,30,18,18,2021-03-29,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,4
2.970.1027.11,2,970,1027,11,0.14,462037.4,5802072.2,30,18,18,2021-03-29,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,4
2.975.1032.9,2,975,1032,9,1.12,462069.6,5801689.2,30,18,18,2021-03-29,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,4
2.975.1032.10,2,975,1032,10,1.14,462069.6,5801689.2,30,18,18,2021-03-29,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,4
2.975.1032.11,2,975,1032,11,0.09,462069.6,5801689.2,30,18,18,2021-03-29,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,4
2.977.1034.9,2,977,1034,9,1.08,462125.2,5801832.0,30,18,18,2021-03-29,2021-04-25,Soil organic carbon,SOC,M%,DIN ISO 10694,4
2.977.1034.10,2,977,1034,10,1.08,462125.2,5801832.0,30,18,18,2021-03-29,2021-04-25,Total carbon,TC,M%,DIN ISO 10694,4
2.977.1034.11,2,977,1034,11,0.06,462125.2,5801832.0,30,18,18,2021-03-29,2021-04-25,Totoal nitrogen,TN,M%,DIN ISO 10694,4
