lab_ID,date_ID
1,24
2,5
3,5
4,25
5,25
6,4
7,4
8,24
9,24
10,4
11,25
12,4
13,25
14,25
15,5
16,5
17,5
18,25
19,24
20,5
21,4
22,4
23,4
24,5
25,4
26,5
27,4
28,24
29,4
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,24
38,5
39,4
40,25
41,4
42,5
43,5
44,16
45,28
46,13
47,28
48,28
49,16
50,28
51,16
52,13
53,13
54,13
55,28
56,13
57,28
58,28
59,16
60,28
61,16
62,17
63,13
64,17
65,17
66,16
67,13
68,17
69,16
70,17
71,17
72,17
73,13
74,17
75,13
76,16
77,16
78,13
79,13
80,27
81,27
82,27
83,27
84,13
85,27
86,27
87,27
88,26
89,26
90,27
91,13
92,13
93,13
94,27
95,27
96,26
97,16
98,13
99,16
100,17
101,17
102,13
103,13
104,17
105,13
106,17
107,16
108,13
109,17
110,8
111,8
112,8
113,13
114,8
115,13
116,13
117,8
118,8
119,8
120,8
121,8
122,8
123,8
124,8
125,8
126,8
127,8
128,8
129,8
130,8
131,13
132,8
133,8
134,13
135,8
136,8
137,8
138,8
139,8
140,8
141,13
142,7
143,7
144,7
145,7
146,7
147,13
148,7
149,8
150,8
151,8
152,8
153,7
154,7
155,8
156,8
157,7
158,13
159,13
160,7
161,8
162,8
163,7
164,8
165,8
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,13
174,8
175,7
176,8
177,7
178,8
179,7
180,7
181,7
182,7
183,7
184,7
185,8
186,8
187,7
188,13
189,13
190,8
191,8
192,13
193,7
194,8
195,8
196,7
197,8
198,8
199,8
200,8
201,13
202,7
203,8
204,7
205,7
206,7
207,8
208,7
209,8
210,7
211,7
212,7
213,8
214,7
215,8
216,7
217,13
218,15
219,14
220,14
221,14
222,13
223,15
224,13
225,15
226,15
227,15
228,14
229,14
230,15
231,13
232,15
233,14
234,13
235,15
236,13
237,13
238,22
239,22
240,13
241,22
242,22
243,22
244,22
245,13
246,13
247,22
248,13
249,22
250,8
251,8
252,1
253,29
254,1
255,29
256,1
257,29
258,2
259,2
260,8
261,8
262,2
263,29
264,7
265,2
266,1
267,29
268,8
269,1
270,29
271,30
272,7
273,29
274,1
275,29
276,1
277,29
278,29
279,7
280,29
281,1
282,29
283,1
284,3
285,1
286,29
287,29
288,1
289,1
290,29
291,30
292,8
293,1
294,29
295,1
296,29
297,8
298,1
299,29
300,8
301,8
302,1
303,29
304,8
305,29
306,7
307,29
308,7
309,8
310,29
311,1
312,1
313,29
314,1
315,29
316,8
317,3
318,29
319,1
320,1
321,29
322,3
323,8
324,29
325,1
326,8
327,30
328,1
329,29
330,8
331,8
332,7
333,29
334,29
335,7
336,8
337,30
338,8
339,7
340,29
341,8
342,8
343,29
344,1
345,8
346,29
347,1
348,8
349,8
350,3
351,30
352,29
353,7
354,8
355,3
356,8
357,3
358,8
359,7
360,29
361,8
362,29
363,7
364,30
365,29
366,7
367,8
368,30
369,8
370,8
371,3
372,8
373,3
374,3
375,8
376,8
377,8
378,3
379,30
380,8
381,8
382,8
383,13
384,13
385,15
386,15
387,15
388,14
389,14
390,15
391,13
392,15
393,13
394,14
395,14
396,15
397,15
398,13
399,6
400,8
401,8
402,6
403,8
404,6
405,8
406,6
407,8
408,2
409,6
410,8
411,8
412,8
413,6
414,2
415,12
416,2
417,23
418,6
419,8
420,9
421,11
422,10
423,6
424,6
425,8
426,9
427,6
428,10
429,11
430,6
431,8
432,8
433,8
434,6
435,2
436,2
437,6
438,9
439,11
440,10
441,6
442,2
443,30
444,30
445,6
