dates_ID,date_sampling,date_lab_delivery
1,2017-09-28T00:00:00,2017-09-29T00:00:00
2,2017-10-04T00:00:00,2017-10-05T00:00:00
3,2017-11-16T00:00:00,2017-11-16T00:00:00
4,2018-04-12T00:00:00,2018-04-13T00:00:00
5,2018-05-30T00:00:00,2018-05-31T00:00:00
6,2018-09-20T00:00:00,2018-11-23T00:00:00
7,2018-09-26T00:00:00,2018-09-27T00:00:00
8,2018-12-11T00:00:00,2018-12-12T00:00:00
9,2019-02-28T00:00:00,2019-02-28T00:00:00
10,2019-04-23T00:00:00,2019-04-23T00:00:00
11,2019-06-27T00:00:00,2019-06-27T00:00:00
12,2019-10-02T00:00:00,2019-10-09T00:00:00
13,2020-11-15T00:00:00,2021-02-18T00:00:00
14,2021-03-23T00:00:00,2021-04-25T00:00:00
15,2021-03-23T00:00:00,2021-05-07T00:00:00
16,2021-03-25T00:00:00,2021-04-25T00:00:00
17,2021-03-25T00:00:00,2021-05-07T00:00:00
18,2021-03-29T00:00:00,2021-04-25T00:00:00
19,2021-03-29T00:00:00,2021-05-07T00:00:00
20,2021-04-06T00:00:00,2021-04-25T00:00:00
21,2021-04-06T00:00:00,2021-05-07T00:00:00
22,2021-04-12T00:00:00,2021-04-25T00:00:00
23,2021-04-12T00:00:00,2021-05-07T00:00:00
24,2021-04-13T00:00:00,2021-04-25T00:00:00
25,2021-04-13T00:00:00,2021-05-07T00:00:00
26,2021-04-19T00:00:00,2021-04-25T00:00:00
27,2021-04-19T00:00:00,2021-05-07T00:00:00
28,2021-04-25T00:00:00,2021-05-07T00:00:00
29,2021-08-04T00:00:00,2021-08-23T00:00:00
30,2021-08-19T00:00:00,2021-08-23T00:00:00
31,2021-12-03T00:00:00,2021-12-05T00:00:00
