pH_BB_ID,farm_ID,point_ID,lab_ID,parm_ID,value
2.1.1.9,2,1,1,9,1.48
2.1.1.10,2,1,1,10,1.5
2.1.1.11,2,1,1,11,0.17
2.2.2.1,2,2,2,1,38.23
2.2.2.2,2,2,2,2,6.57
2.2.2.3,2,2,2,3,6.66
2.2.2.4,2,2,2,4,8.14
2.2.2.5,2,2,2,5,18.43
2.2.2.6,2,2,2,6,17.79
2.2.2.7,2,2,2,7,4.19
2.2.2.8,2,2,2,8,7
2.2.2.12,2,2,2,12,7.3
2.2.2.13,2,2,2,13,27
2.2.2.14,2,2,2,14,15.5
2.3.3.1,2,3,3,1,16.94
2.3.3.2,2,3,3,2,4.65
2.3.3.3,2,3,3,3,4.14
2.3.3.4,2,3,3,4,7.53
2.3.3.5,2,3,3,5,22.43
2.3.3.6,2,3,3,6,33.28
2.3.3.7,2,3,3,7,11.03
2.3.3.8,2,3,3,8,6.7
2.3.3.12,2,3,3,12,12
2.3.3.13,2,3,3,13,30
2.3.3.14,2,3,3,14,10.1
2.4.4.8,2,4,4,8,7.1
2.4.4.12,2,4,4,12,6.7
2.4.4.13,2,4,4,13,29
2.4.4.14,2,4,4,14,15.5
2.5.5.8,2,5,5,8,7.1
2.5.5.12,2,5,5,12,8.8
2.5.5.13,2,5,5,13,29
2.5.5.14,2,5,5,14,15.6
2.6.6.1,2,6,6,1,37.32
2.6.6.2,2,6,6,2,8.87
2.6.6.3,2,6,6,3,8.66
2.6.6.4,2,6,6,4,10.68
2.6.6.5,2,6,6,5,16.09
2.6.6.6,2,6,6,6,14.45
2.6.6.7,2,6,6,7,3.93
2.6.6.8,2,6,6,8,6.7
2.6.6.9,2,6,6,9,1.27
2.6.6.10,2,6,6,10,1.5
2.6.6.11,2,6,6,11,0.16
2.6.6.12,2,6,6,12,7.2
2.6.6.13,2,6,6,13,35
2.6.6.14,2,6,6,14,13.2
2.7.7.1,2,7,7,1,3.98
2.7.7.2,2,7,7,2,1.43
2.7.7.3,2,7,7,3,1.38
2.7.7.4,2,7,7,4,8.04
2.7.7.5,2,7,7,5,34.88
2.7.7.6,2,7,7,6,42.74
2.7.7.7,2,7,7,7,7.56
2.7.7.8,2,7,7,8,6.7
2.7.7.9,2,7,7,9,0.62
2.7.7.10,2,7,7,10,0.62
2.7.7.11,2,7,7,11,0.07
2.7.7.12,2,7,7,12,7.8
2.7.7.13,2,7,7,13,12
2.7.7.14,2,7,7,14,4.4
2.8.8.9,2,8,8,9,1.48
2.8.8.10,2,8,8,10,1.59
2.8.8.11,2,8,8,11,0.15
2.9.9.9,2,9,9,9,0.52
2.9.9.10,2,9,9,10,0.56
2.9.9.11,2,9,9,11,0.04
2.10.10.1,2,10,10,1,30.34
2.10.10.2,2,10,10,2,5.56
2.10.10.3,2,10,10,3,8.61
2.10.10.4,2,10,10,4,3.94
2.10.10.5,2,10,10,5,22.63
2.10.10.6,2,10,10,6,23.4
2.10.10.7,2,10,10,7,5.52
2.10.10.8,2,10,10,8,6.7
2.10.10.9,2,10,10,9,1.69
2.10.10.10,2,10,10,10,1.71
2.10.10.11,2,10,10,11,0.18
2.10.10.12,2,10,10,12,11.5
2.10.10.13,2,10,10,13,20
2.10.10.14,2,10,10,14,15.5
2.11.11.8,2,11,11,8,7.1
2.11.11.12,2,11,11,12,8.7
2.11.11.13,2,11,11,13,32
2.11.11.14,2,11,11,14,17.5
2.12.12.1,2,12,12,1,29.68
2.12.12.2,2,12,12,2,6.7
2.12.12.3,2,12,12,3,6.75
2.12.12.4,2,12,12,4,8.71
2.12.12.5,2,12,12,5,22.21
2.12.12.6,2,12,12,6,21.32
2.12.12.7,2,12,12,7,4.63
2.12.12.8,2,12,12,8,6.9
2.12.12.9,2,12,12,9,1.64
2.12.12.10,2,12,12,10,1.66
2.12.12.11,2,12,12,11,0.18
2.12.12.12,2,12,12,12,5.5
2.12.12.13,2,12,12,13,24
2.12.12.14,2,12,12,14,12.2
2.13.13.8,2,13,13,8,7.1
2.13.13.12,2,13,13,12,12
2.13.13.13,2,13,13,13,38
2.13.13.14,2,13,13,14,15.7
2.14.14.8,2,14,14,8,6.8
2.14.14.12,2,14,14,12,8.3
2.14.14.13,2,14,14,13,27
2.14.14.14,2,14,14,14,9.2
2.15.15.1,2,15,15,1,21.22
2.15.15.2,2,15,15,2,6
2.15.15.3,2,15,15,3,5.88
2.15.15.4,2,15,15,4,9.06
2.15.15.5,2,15,15,5,23.08
2.15.15.6,2,15,15,6,26.91
2.15.15.7,2,15,15,7,7.85
2.15.15.8,2,15,15,8,6.8
2.15.15.12,2,15,15,12,17.5
2.15.15.13,2,15,15,13,42
2.15.15.14,2,15,15,14,16.5
2.16.16.1,2,16,16,1,3.93
2.16.16.2,2,16,16,2,0.37
2.16.16.3,2,16,16,3,2.88
2.16.16.4,2,16,16,4,5.82
2.16.16.5,2,16,16,5,23.57
2.16.16.6,2,16,16,6,45.02
2.16.16.7,2,16,16,7,18.41
2.16.16.8,2,16,16,8,6.3
